n_components,bic,aic,silhouette,calinski_harabasz,davies_bouldin
2,-3548.557539211403,-3713.9054577280276,0.4624192406953325,847.0499614074655,1.1017107467619514
3,-8527.264837950075,-8778.137541906333,0.34250087690298403,972.0530342841973,1.1516418733021843
4,-8594.475623942306,-8930.873113338197,0.3336965774773932,986.349663928851,0.9722915948595576
5,-9386.429190382823,-9808.351465218348,0.32637559237446534,946.7040829379818,0.7861267122288832
6,-9718.312880720132,-10225.759940995289,0.33142382595098,872.4505525985933,1.0056068156036033
