zmienna,liczba_przypadkow,srednia,mediana,moda,minimum,maksimum,odchylenie_std,wariancja
NumWebPurchases,2212,4.083182640144665,4.0,2.0,0.0,27.0,2.741929846435541,7.51817928277403
Income,2212,52232.51084990959,51381.5,7500.0,1730.0,666666.0,25187.4553590099,634407907.4621165
Recency,2212,49.050632911392405,49.0,56.0,0.0,99.0,28.940794295462066,837.5695744522496
NumWebVisitsMonth,2212,5.320072332730561,6.0,7.0,0.0,20.0,2.4234446618685554,5.873084029139197
MntWines,2212,305.03074141048825,173.5,2.0,0.0,1493.0,337.6112550329353,113981.35952491366
Kidhome,2212,0.4425858951175407,0.0,0.0,0.0,2.0,0.5370524479338286,0.2884253318317176
Response,2212,0.14963833634719712,0.0,0.0,0.0,1.0,0.35679722013403725,0.12730425629537664
NumCatalogPurchases,2212,2.6681735985533455,2.0,0.0,0.0,28.0,2.9243777569239215,8.551985265191387
