n_components,bic,aic,silhouette,calinski_harabasz,davies_bouldin
2,22915.19044026284,22749.842521746214,0.28758585552649635,866.449012281518,1.4171384077110396
3,21373.457399372164,21122.584695415906,0.27478528666800855,497.75616295377,1.2480912696436708
4,21191.746787238688,20855.349297842797,0.2102593949852745,438.52453586271577,1.302455543046288
5,20650.472929535223,20228.5506546997,0.25161682380402034,627.9269828354577,1.0830194958939439
6,20504.538179035717,19997.09111876056,0.2465007343682251,528.0389120259123,1.0328351194000833
