n_components,bic,aic,silhouette,calinski_harabasz,davies_bouldin
2,27187.005733260135,26873.31548562744,0.3519062321255468,1344.5655128478904,1.1548424156924628
3,20968.611989605728,20495.22488863275,0.22080706218155802,733.4633016389108,1.5790530160010945
4,1669.108744842882,1036.0247905296258,0.23605777607843537,369.43989479050384,1.763773960608412
5,-218.39069213281232,-1011.1714997863496,0.22292520854759695,294.28585385851454,2.1099396562333466
6,-1559.502321415145,-2511.979982408963,0.246946616621501,453.6373786010173,1.4897124513760536
