warunki,przewidywana_wartosc,wariancja_w_lisciu,wsparcie
(Income <= 47902.500) and (Income <= 39550.000) and (NumWebVisitsMonth <= 7.500) and (Income > 14468.000),1.728538283062645,0.9634315060750107,431
(Income <= 47902.500) and (Income > 39550.000) and (NumWebVisitsMonth <= 7.500) and (NumWebVisitsMonth <= 4.500),1.7179487179487178,0.9717291255752798,39
(Income > 47902.500) and (NumWebVisitsMonth <= 3.500) and (NumWebVisitsMonth <= 1.500) and (Recency > 12.500),3.0291970802919708,1.2546219830571683,137
(Income > 47902.500) and (NumWebVisitsMonth <= 3.500) and (NumWebVisitsMonth > 1.500) and (Income <= 65547.500),3.2527472527472527,1.573481463591353,91
(Income > 47902.500) and (NumWebVisitsMonth <= 3.500) and (NumWebVisitsMonth > 1.500) and (Income > 65547.500),5.166666666666667,1.595410628019323,276
