n_components,bic,aic,silhouette,calinski_harabasz,davies_bouldin
2,-12501.991826663774,-12735.759573532105,0.42642696825690357,1520.3279313990884,0.9853317311765459
3,-35073.63454832173,-35427.13699480555,0.41956351165112954,827.4518789974331,1.678051348730594
4,-35568.06459238048,-36041.30173847978,0.365608008333001,929.9687631333205,1.5140745825283677
5,-36431.374001156924,-37024.345846871714,0.3781892403915038,939.1409299241865,1.3196295828736009
6,-52249.710146831625,-52962.4166921619,0.34096955196730366,688.5014717478995,1.1869363204779855
